# backup: 20250504 @ 0550 (UTC)
pkgconf 2.4.3
pmix 5.0.7
pngquant 3.0.3
popt 1.19
portaudio 19.7.0
protobuf 29.3
pugixml 1.15
pwgen 2.08
py3cairo 1.28.0
pybind11 2.13.6_1
pycparser 2.22_1
pygobject3 3.52.3
python-gdbm@3.11 3.11.12
python-packaging 25.0
python-setuptools 80.3.0
python-tk@3.11 3.11.12
python@3.10 3.10.17
python@3.11 3.11.12
python@3.12 3.12.10
python@3.13 3.13.3
python@3.9 3.9.22
qemu 10.0.0
qpdf 12.1.0
qrencode 4.1.1
qt 6.9.0
qt@5 5.15.16_2
rav1e 0.7.1
readline 8.2.13
rename 1.601
rsync 3.4.1
rtmpdump 2.4-20151223_3
rubberband 4.0.0
s3cmd 2.4.0_1
sc-im 0.8.4_2
sdl2 2.32.4_1
shared-mime-info 2.4
snappy 1.2.1
soapyrtlsdr 0.3.3_2
soapysdr 0.8.1_1
socat 1.8.0.3
sox 14.4.2_6
speedtest-cli 2.1.3_1
speex 1.2.1
spice-gtk 0.42_3
spice-protocol 0.14.5
sqlite 3.49.1
srt 1.5.4
srtp 2.7.0
streamlink 7.3.0
streamripper 1.64.6_2
svt-av1 3.0.2
taglib 2.0.2
tbb 2022.1.0
tcl-tk 9.0.1
tcl-tk@8 8.6.16
telnet 303.141.1
tesseract 5.5.0_1
thefuck 3.32
theora 1.1.1
tmux 3.5a
unbound 1.23.0
unpaper 7.0.0_2
usb.ids 2025.04.01
usbredir 0.15.0
utf8cpp 4.0.6
utf8proc 2.10.0
vde 2.3.3
virt-manager 5.0.0
volk 3.2.0
vte3 0.80.1
watch 4.0.5
webp 1.5.0
wget 1.25.0
whois 5.5.23
x264 r3108
x265 4.1
xbitmaps 1.1.3
xmlto 0.0.29
xmp 4.2.0
xorgproto 2024.1
xpdf 4.05
xvid 1.3.7
xxhash 0.8.3
xz 5.8.1
yajl 2.1.0
zeromq 4.3.5_1
zimg 3.0.5
zlib 1.3.1
zstd 1.5.7
