opencore-amr 0.1.6
openexr 3.4.12
openjpeg 2.5.4
openjph 0.27.4
openldap 2.6.13
openmotif 2.3.8_4
openssl@3 3.6.2
openssl@4 4.0.0
openvino 2026.1.0_1
opus 1.6.1
opusfile 0.12_1
orc 0.4.42
osinfo-db 20251212
p11-kit 0.26.2
p7zip 17.06
pango 1.57.1
pcre 8.45
pcre2 10.47_1
perl 5.42.2
phodav 3.0_1
pillow 12.2.0
pinentry 1.3.2
pinentry-mac 1.3.1.1
pipx 1.14.0
pixman 0.46.4
pkgconf 2.5.1
pmix 5.0.10_1
pngquant 3.0.3
popt 1.19
portaudio 19.7.0
protobuf 35.0
pugixml 1.15
pwgen 2.08
py3cairo 1.29.0
pybind11 3.0.4
pycparser 3.0
pydantic 2.13.4
pygobject3 3.56.3
python-gdbm@3.11 3.11.15
python-packaging 26.2
python-setuptools 82.0.1
python-tk@3.11 3.11.15
python@3.10 3.10.20_1
python@3.11 3.11.15_1
python@3.12 3.12.13_2
python@3.13 3.13.13_1
python@3.14 3.14.5
python@3.9 3.9.25
qemu 11.0.1
qpdf 12.3.2
qrencode 4.1.1
qt 6.11.1
qt3d 6.11.1
qt5compat 6.11.1
qt@5 5.15.19
qtbase 6.11.1
qtcanvaspainter 6.11.1
qtcharts 6.11.1
qtconnectivity 6.11.1
qtdatavis3d 6.11.1
qtdeclarative 6.11.1
qtgraphs 6.11.1
qtgrpc 6.11.1_1
qthttpserver 6.11.1
qtimageformats 6.11.1
qtlanguageserver 6.11.1
qtlocation 6.11.1
qtlottie 6.11.1
qtmultimedia 6.11.1
qtnetworkauth 6.11.1
qtpositioning 6.11.1
qtquick3d 6.11.1
qtquick3dphysics 6.11.1
qtquickeffectmaker 6.11.1
qtquicktimeline 6.11.1
qtremoteobjects 6.11.1
qtscxml 6.11.1
qtsensors 6.11.1
qtserialbus 6.11.1
qtserialport 6.11.1
qtshadertools 6.11.1
qtspeech 6.11.1
qtsvg 6.11.1
qttasktree 6.11.1
qttools 6.11.1
qttranslations 6.11.1
qtvirtualkeyboard 6.11.1
qtwebchannel 6.11.1
qtwebengine 6.11.1
qtwebsockets 6.11.1
qtwebview 6.11.1
rav1e 0.8.1
readline 8.3.3
rename 1.601
rsync 3.4.3
rtmpdump 2.6
rubberband 4.0.0
s3cmd 2.4.0_1
sc-im 0.8.5_4
sdl2 2.32.10
shared-mime-info 2.4_1
simdjson 4.6.4
simdutf 9.0.0
snappy 1.2.2
soapyrtlsdr 0.3.3_2
soapysdr 0.8.1_1
socat 1.8.1.1
sox 14.4.2_6
speedtest-cli 2.1.3_2
speex 1.2.1
spice-gtk 0.42_3
spice-protocol 0.14.5
sqlite 3.53.2
srt 1.5.5
srtp 2.8.0
streamlink 8.4.0_1
streamripper 1.64.6_2
svt-av1 4.1.0
syncthing 2.1.1
taglib 2.3
tbb 2023.0.0
tcl-tk 9.0.3
tcl-tk@8 8.6.18
telnet 308
tesseract 5.5.2
thefuck 3.32
theora 1.2.0
tmux 3.6b
unbound 1.25.1
unpaper 7.0.0_3
usb.ids 2025.12.13
usbredir 0.15.0
utf8cpp 4.1.1
utf8proc 2.11.3
uvwasi 0.0.23
vde 2.3.3
virt-manager 5.1.0_5
volk 3.3.0_2
vte3 0.82.3_4
watch 4.0.6
webp 1.6.0
wget 1.25.0
whois 5.6.6
x264 r3222
x265 4.2
xbitmaps 1.1.4
xmlto 0.0.29
xmp 4.3.0
xorgproto 2025.1
xpdf 4.06
xvid 1.3.7
xxhash 0.8.3
xz 5.8.3
yajl 2.1.0
zeromq 4.3.5_2
zimg 3.0.6
zlib-ng-compat 2.3.3_1
zstd 1.5.7_1
