id3lib 3.8.3_1
id3tool 1.2a
id3v2 0.1.12
ilmbase 2.5.8
imagemagick 7.1.2-24
imath 3.2.2
img2pdf 0.6.3_1
imlib2 1.12.6
iperf3 3.21_1
isl 0.27
jansson 2.15.0
jasper 4.2.9
jbig2dec 0.20
jbig2enc 0.31
jemalloc 5.3.0
jpeg 10
jpeg-turbo 3.1.4.1
jpeg-xl 0.11.2
jq 1.8.1
jsoncpp 1.9.7
lame 3.100
leptonica 1.87.0
libarchive 3.8.7
libass 0.17.4_1
libassuan 3.0.2
libavif 1.4.2
libb2 0.98.1
libbladerf 2025.10
libbluray 1.4.1
libcaca 0.99b20
libdatrie 0.2.14
libde265 1.1.0
libdeflate 1.25
libebml 1.4.5
libev 4.33
libevent 2.1.12_1
libffi 3.5.2
libgcrypt 1.12.2
libgit2 1.9.4
libgpg-error 1.61
libheif 1.23.0
libice 1.1.2
libidn 1.43
libidn2 2.3.8
libimagequant 4.4.1
libksba 1.8.0
liblinear 2.50
liblo 0.35
liblqr 0.4.3
libmagic 5.47
libmatroska 1.7.1
libmediainfo 26.05
libmetalink 0.1.3
libmicrohttpd 1.0.5
libmms 0.6.4
libmng 2.0.3_1
libmpc 1.4.1
libnghttp2 1.69.0
libnghttp3 1.16.0
libngtcp2 1.23.0
libogg 1.3.6
libomp 22.1.6
libpng 1.6.58
libproxy 0.5.12
libpthread-stubs 0.5
libraqm 0.10.5
librist 0.2.17
librtlsdr 2.0.2
libsamplerate 0.2.2
libsm 1.2.6
libsndfile 1.2.2_1
libsodium 1.0.22
libsoxr 0.1.3
libssh 0.12.0_1
libssh2 1.11.1_1
libtasn1 4.21.0
libthai 0.1.30
libtiff 4.7.1_1
libtommath 1.3.0
libtool 2.5.4
libudfread 1.2.0
libunibreak 7.0
libunistring 1.4.2
libusb 1.0.30
libuv 1.52.1
libvidstab 1.1.1
libvmaf 3.1.0
libvorbis 1.3.7
libvpx 1.16.0
libx11 1.8.13
libxau 1.0.12
libxcb 1.17.0
libxdmcp 1.1.5
libxext 1.3.7
libxft 2.3.9
libxls 1.6.3
libxlsxwriter 1.2.4
libxml2 2.15.3
libxmp 4.7.0
libxmu 1.3.1
libxp 1.0.4
libxrender 0.9.12
libxt 1.3.1
libyaml 0.2.5
libzen 0.4.41_1
libzip 1.11.4_1
litehtml 0.9
little-cms2 2.19
livestreamer 1.12.2_5
llhttp 9.4.1
lolcat 100.0.1
lua 5.5.0
lz4 1.10.0
lzlib 1.16
lzo 2.10
m4 1.4.21
mad 0.16.4
mbedtls 4.1.0
mbedtls@3 3.6.6
md4c 0.5.3
media-info 26.05
merve 1.2.2_1
mkvdts2ac3 1.6.0_3
mkvtomp4 2.0_3
mkvtoolnix 99.0
mmv 2.10
moreutils 0.70
mp3info 0.8.5a
mpdecimal 4.0.1
mpfr 4.2.2
mpg123 1.33.5
mplayer 1.5_2
mtr 0.96
mysql@5.7 5.7.44_1
nbytes 0.1.4
ncurses 6.6
nettle 4.0
nghttp2 1.69.0
nlohmann-json 3.12.0
nmap 7.99
node 26.0.0
node_exporter 1.11.1
npth 1.8
numpy 2.4.6
ocrmypdf 17.5.0
oniguruma 6.9.10
open-mpi 5.0.9
openblas 0.3.33
opencore-amr 0.1.6
openexr 3.4.12
openjpeg 2.5.4
openjph 0.27.3
openldap 2.6.13
openmotif 2.3.8_4
openssl@1.1 1.1.1w
openssl@3 3.6.2
openssl@4 4.0.0
opus 1.6.1
opusfile 0.12_1
orc 0.4.42
p11-kit 0.26.2
p7zip 17.06
pango 1.57.1
pcre 8.45
pcre2 10.47_1
perl 5.42.2
pillow 12.2.0
pinentry 1.3.2
pipx 1.13.0
